marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Renault;Arkana;21390;2024;31663;hybride;14521;89300
Peugeot;308;39990;2024;6000;essence;1808;59410
Renault;Megane;25990;2021;78875;hybride;140;69200
Dacia;Spring;19499;2021;18721;essence;2;06800
Dacia;Spring;9990;2024;17851;essence;;Bonne affaire
Renault;Arkana;17990;2022;18278;essence;14521;76000
Renault;Arkana;29350;2022;32266;essence;14523;92400
Volkswagen;Tiguan;18990;2017;120330;Diesel;201507;59640
Peugeot;e-2008;18990;2024;8411;essence;136;Super affaire
Renault;Arkana;22990;2024;8111;essence;14022;69130
Peugeot;2008;25980;2022;34815;essence;1308;89000
Renault;Clio;14990;2021;44368;essence;145;50000
Volkswagen;Tiguan;18990;2017;120330;Diesel;201507;59640
Peugeot;e-2008;18990;2024;8411;essence;136;Super affaire
Renault;Arkana;22990;2024;8111;essence;14022;69130
Peugeot;2008;25980;2022;34815;essence;1308;89000
Renault;Clio;14990;2021;44368;essence;145;50000
Volkswagen;Tiguan;18990;2017;120330;Diesel;201507;59640
Peugeot;e-2008;18990;2024;8411;essence;136;Super affaire
Renault;Arkana;22990;2024;8111;essence;14022;69130
Peugeot;2008;25980;2022;34815;essence;1308;89000
Renault;Clio;14990;2021;44368;essence;145;50000
Renault;Arkana;20499;2022;40879;essence;14022;06150
Renault;Arkana;27490;2019;89070;essence;14021;33600
Renault;Arkana;19990;2022;103518;essence;14522;64500
Volkswagen;Golf;22490;2021;45760;essence;151507;67100
Renault;Arkana;18990;2022;17091;essence;1614521;44400
Renault;Arkana;18890;2023;23657;essence;14521;13008
Renault;Arkana;20999;2022;50405;essence;140;13400
Renault;Megane;24590;2024;7739;essence;140;69200
Renault;Captur;20990;2023;34073;hybride;160;69200
Dacia;Spring;19990;2022;37640;essence;2;69200
Renault;Arkana;20490;2024;22593;essence;13140;85000
Audi;A3;16990;2022;12220;essence;452456;63170
Renault;Clio;21790;2022;42498;essence;90;44210
Renault;Clio;16990;2021;40973;essence;14021;91300
Renault;Captur;20499;2023;20000;essence;14521;59220
Renault;Arkana;20490;2023;25133;essence;14022;26200
Renault;Arkana;20999;2024;16882;essence;14022;06150
Renault;Captur;31690;2021;38874;essence;145;69200
Renault;Clio;13680;2022;26307;essence;1614021;85000
Renault;Megane E Tech;30990;2022;19010;essence;60130;76600
Renault;Clio;17290;2023;18890;essence;14021;83600
Renault;Clio;16790;2023;51597;essence;140;05000
Renault;Arkana;22590;2024;23118;essence;1314022;44800
Renault;Captur;23590;2022;27782;essence;145;76600
Renault;Arkana;20690;2022;18332;essence;1314022;44800
